harga_juta,luas_tanah,luas_bangunan,bed,bath,carport
799.0,80.0,50.0,3.0,2.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
3800.0,235.0,280.0,6.0,5.0,2.0
950.0,90.0,62.0,4.0,4.0,1.0
800.0,101.0,60.0,3.0,2.0,1.0
3800.0,207.0,280.0,6.0,5.0,2.0
1700.0,100.0,200.0,6.0,5.0,2.0
399.0,80.0,45.0,2.0,1.0,1.0
1450.0,110.0,129.0,3.0,3.0,1.0
1300.0,236.0,180.0,6.0,5.0,2.0
3800.0,290.0,150.0,4.0,4.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
2400.0,175.0,280.0,6.0,5.0,2.0
1880.0,121.0,80.0,3.0,3.0,1.0
2660.0,153.0,160.0,3.0,3.0,2.0
399.0,94.0,45.0,2.0,1.0,1.0
1650.0,125.0,140.0,4.0,3.0,2.0
1990.0,172.0,100.0,3.0,3.0,1.0
1800.0,95.0,150.0,3.0,3.0,2.0
550.0,116.0,60.0,3.0,1.0,1.0
1700.0,151.0,120.0,3.0,4.0,1.0
1100.0,138.0,100.0,3.0,2.0,1.0
2200.0,114.0,150.0,5.0,4.0,2.0
750.0,130.0,60.0,3.0,2.0,2.0
399.0,80.0,45.0,2.0,1.0,1.0
750.0,130.0,60.0,3.0,2.0,2.0
1650.0,125.0,140.0,4.0,3.0,2.0
1520.0,99.0,150.0,4.0,2.0,1.0
399.0,104.0,50.0,2.0,1.0,1.0
850.0,114.0,110.0,3.0,2.0,1.0
2950.0,213.0,185.0,4.0,3.0,1.0
895.0,91.0,76.0,3.0,2.0,2.0
2500.0,290.0,168.0,3.0,3.0,1.0
1200.0,115.0,100.0,3.0,2.0,1.0
1270.0,130.0,100.0,3.0,2.0,1.0
675.0,85.0,45.0,2.0,1.0,1.0
817.0,103.0,76.0,2.0,2.0,1.0
3800.0,235.0,280.0,6.0,5.0,2.0
817.0,103.0,76.0,2.0,2.0,1.0
470.0,147.0,70.0,3.0,3.0,1.0
765.0,101.0,60.0,2.0,1.0,1.0
675.0,84.0,50.0,2.0,1.0,1.0
2200.0,150.0,235.0,4.0,4.0,2.0
725.0,100.0,70.0,3.0,2.0,1.0
800.0,120.0,80.0,3.0,2.0,1.0
884.0,104.0,60.0,4.0,2.0,2.0
3400.0,290.0,200.0,4.0,3.0,1.0
1250.0,125.0,150.0,2.0,2.0,2.0
500.0,80.0,55.0,2.0,2.0,1.0
500.0,108.0,70.0,3.0,2.0,1.0
3800.0,290.0,280.0,6.0,5.0,2.0
690.0,87.0,45.0,2.0,1.0,1.0
875.0,112.0,95.0,3.0,2.0,2.0
756.0,104.0,60.0,3.0,1.0,2.0
3800.0,290.0,280.0,5.0,2.0,2.0
1300.0,290.0,142.0,5.0,5.0,1.0
850.0,80.0,85.0,3.0,2.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
1290.0,99.0,105.0,4.0,3.0,1.0
2700.0,267.0,180.0,3.0,2.0,2.0
3800.0,290.0,280.0,5.0,4.0,1.0
1780.0,118.0,160.0,4.0,3.0,2.0
1250.0,105.0,160.0,3.0,3.0,1.0
575.0,108.0,80.0,2.0,1.0,1.0
3800.0,290.0,280.0,6.0,5.0,2.0
775.0,118.0,100.0,2.0,2.0,1.0
575.0,101.0,80.0,3.0,2.0,1.0
785.0,115.0,60.0,3.0,2.0,1.0
2450.0,150.0,200.0,6.0,5.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
1850.0,147.0,120.0,4.0,3.0,1.0
3800.0,290.0,280.0,6.0,5.0,2.0
900.0,98.0,100.0,3.0,3.0,1.0
3500.0,203.0,250.0,6.0,5.0,2.0
750.0,130.0,60.0,3.0,2.0,2.0
2200.0,290.0,280.0,5.0,5.0,2.0
2800.0,140.0,195.0,6.0,3.0,2.0
3800.0,290.0,250.0,3.0,2.0,2.0
2800.0,154.0,230.0,4.0,4.0,2.0
1500.0,120.0,90.0,2.0,1.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
1700.0,162.0,170.0,6.0,5.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
3800.0,290.0,280.0,6.0,5.0,1.0
3800.0,290.0,280.0,6.0,5.0,2.0
399.0,80.0,45.0,2.0,1.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
399.0,80.0,75.0,2.0,1.0,1.0
399.0,80.0,72.0,2.0,1.0,1.0
3100.0,225.0,280.0,6.0,4.0,2.0
399.0,82.0,46.0,2.0,1.0,1.0
2100.0,139.0,100.0,3.0,3.0,1.0
2000.0,105.0,140.0,4.0,2.0,2.0
645.0,93.0,60.0,3.0,1.0,2.0
3800.0,290.0,190.0,4.0,4.0,2.0
1280.0,134.0,85.0,3.0,3.0,2.0
399.0,80.0,45.0,2.0,1.0,1.0
3100.0,225.0,280.0,6.0,4.0,2.0
1780.0,119.0,114.0,3.0,3.0,2.0
598.0,90.0,45.0,2.0,1.0,1.0
645.0,93.0,60.0,3.0,1.0,1.0
3800.0,290.0,190.0,4.0,4.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
1820.0,140.0,158.0,3.0,2.0,1.0
2900.0,290.0,200.0,2.0,3.0,2.0
499.0,120.0,45.0,2.0,1.0,1.0
3800.0,290.0,150.0,3.0,3.0,2.0
592.0,91.0,50.0,2.0,1.0,1.0
985.0,125.0,132.0,2.0,2.0,1.0
890.0,85.0,70.0,3.0,2.0,1.0
3800.0,290.0,280.0,6.0,5.0,2.0
3800.0,290.0,252.0,5.0,5.0,1.0
1250.0,130.0,70.0,2.0,1.0,1.0
790.0,80.0,70.0,3.0,2.0,1.0
3800.0,230.0,208.0,5.0,4.0,2.0
399.0,80.0,45.0,2.0,1.0,1.0
600.0,167.0,130.0,3.0,1.0,1.0
3800.0,290.0,280.0,5.0,3.0,2.0
3800.0,199.0,206.0,3.0,3.0,1.0
407.0,80.0,45.0,2.0,1.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
400.0,90.0,50.0,2.0,1.0,1.0
1450.0,110.0,129.0,3.0,3.0,1.0
1940.0,150.0,110.0,3.0,3.0,2.0
400.0,90.0,50.0,2.0,1.0,1.0
580.0,101.0,70.0,3.0,2.0,1.0
850.0,102.0,65.0,3.0,2.0,1.0
850.0,102.0,65.0,3.0,2.0,1.0
850.0,126.0,126.0,4.0,3.0,1.0
399.0,105.0,70.0,2.0,1.0,1.0
2120.0,120.0,150.0,4.0,4.0,2.0
2120.0,120.0,150.0,4.0,4.0,2.0
808.0,85.0,45.0,3.0,2.0,2.0
690.0,80.0,60.0,3.0,2.0,2.0
675.0,85.0,45.0,2.0,1.0,1.0
1250.0,128.0,200.0,6.0,4.0,1.0
870.0,135.0,80.0,3.0,2.0,1.0
2600.0,150.0,190.0,4.0,3.0,2.0
399.0,80.0,45.0,2.0,1.0,1.0
2300.0,98.0,120.0,6.0,5.0,2.0
1600.0,125.0,125.0,4.0,2.0,1.0
2500.0,290.0,168.0,3.0,3.0,1.0
1600.0,193.0,193.0,4.0,3.0,1.0
3800.0,290.0,280.0,5.0,5.0,2.0
1750.0,187.0,280.0,4.0,4.0,1.0
3500.0,290.0,280.0,4.0,3.0,2.0
3500.0,290.0,280.0,4.0,3.0,2.0
399.0,80.0,74.0,2.0,1.0,1.0
3000.0,262.0,252.0,4.0,2.0,1.0
399.0,80.0,80.0,3.0,2.0,1.0
900.0,133.0,80.0,3.0,2.0,1.0
1300.0,135.0,85.0,3.0,3.0,1.0
399.0,88.0,45.0,2.0,1.0,1.0
1600.0,290.0,280.0,5.0,3.0,2.0
399.0,88.0,45.0,2.0,1.0,1.0
